"","Q","P","Y","dist","hhsize","driver"
"1",1041.04213455966,1.25829088354164,17500.0075045881,1.92916580420094,4,2
"2",3441.09547172957,1.25835752278943,12500.0019270404,1.92916580420094,5,4
"3",1907.99587320882,1.25841379576348,62500.0115146263,1.92916580420094,3,2
"4",2014.71874169868,1.25838101799709,47500.0037644782,1.92916580420094,3,2
"5",984.284365382664,1.25822460405398,90000.0150812943,1.92916580420094,4,2
"6",864.274074656926,1.25845836964523,27499.992041722,1.92916580420094,3,1
"7",1910.17063183245,1.258389831157,72499.9680495266,1.92916580420094,4,2
"8",1594.02223447103,1.25834441591688,27499.992041722,1.92916580420094,4,2
"9",705.000121504239,1.25816953942348,57500.0080696094,1.92916580420094,3,2
"10",1882.07852921852,1.25826525255913,47500.0037644782,1.92916580420094,4,3
"11",580.042008123619,1.25835894786534,17500.0075045881,1.92916580420094,4,2
"12",1991.53047823553,1.2583881622773,22500.0036846141,1.92916580420094,3,2
"13",2240.86718484816,1.25836241680689,119999.960964965,1.92916580420094,4,2
"14",2973.4821185495,1.25849711288805,77499.9677154947,1.92916580420094,3,2
"15",1263.1267845293,1.25813721796406,37499.9886435073,1.92916580420094,3,2
"16",898.952710365955,1.25803602191981,42499.9843818585,1.92916580420094,3,2
"17",4098.74319930412,1.25843024122306,57500.0080696094,1.92916580420094,3,2
"18",1083.71177753093,1.25821149856589,119999.960964965,1.92916580420094,3,2
"19",2028.58000806424,1.2584407236749,57500.0080696094,1.92916580420094,4,2
"20",1153.5611765397,1.2581760825578,42499.9843818585,1.92916580420094,3,2
"21",2445.66659773723,1.25842679084657,119999.960964965,1.92916580420094,3,2
"22",1700.99500936076,1.25807833279918,47500.0037644782,1.92916580420094,3,2
"23",2186.42160234811,1.25844025486928,12500.0019270404,1.92916580420094,5,2
"24",3888.93306040219,1.25848961168307,67499.980206137,1.92916580420094,3,2
"25",1763.26446591661,1.25840353855602,90000.0150812943,1.92916580420094,3,2
"26",1416.65931749102,1.25824558436845,22500.0036846141,1.92916580420094,3,2
"27",1685.65053943292,1.25815474719081,12500.0019270404,1.92916580420094,3,2
"28",1683.86307550804,1.2582333036236,57500.0080696094,1.92916580420094,4,2
"29",1459.87362968327,1.25829528979824,119999.960964965,1.92916580420094,3,2
"30",1658.69971851258,1.25834417215659,52499.9985210982,1.92916580420094,4,2
"31",1966.84418415278,1.25847828494828,72499.9680495266,1.92916580420094,5,4
"32",800.727849402704,1.25780450893884,17500.0075045881,1.92916580420094,3,2
"33",349.889662601569,1.25827312742139,17500.0075045881,1.92916580420094,4,2
"34",1540.47727264822,1.25833774065228,7499.99750317067,1.92916580420094,4,2
"35",2395.72736542241,1.25846791469936,47500.0037644782,1.92916580420094,4,2
"36",1119.05336771831,1.25827657737656,27499.992041722,1.92916580420094,4,2
"37",2141.60036451836,1.25831282122735,119999.960964965,1.92916580420094,6,4
"38",148.587494469091,1.25748693443353,22500.0036846141,1.92916580420094,4,2
"39",1724.80276667982,1.2583572790266,119999.960964965,1.92916580420094,3,2
"40",1325.28718780713,1.25858915631322,57500.0080696094,1.92916580420094,4,2
"41",2878.76453691699,1.25845098118546,119999.960964965,1.92916580420094,4,2
"42",1216.57993160076,1.25806104834247,7499.99750317067,1.92916580420094,5,4
"43",3075.15554760977,1.25839007492613,62500.0115146263,1.92916580420094,4,2
"44",1991.58745719464,1.2584423926243,72499.9680495266,1.92916580420094,4,2
"45",1671.99844596388,1.25835705401481,119999.960964965,1.92916580420094,4,3
"46",2200.55844533373,1.25847888503763,72499.9680495266,1.92916580420094,4,2
"47",2133.54606822919,1.25844633060358,27499.992041722,1.92916580420094,6,3
"48",2331.72259173029,1.2584870987894,57500.0080696094,1.92916580420094,4,2
"49",2130.84060591234,1.25832617152757,37499.9886435073,1.92916580420094,4,4
"50",653.867305579923,1.25802396817253,77499.9677154947,1.92916580420094,3,2
"51",1313.02322989726,1.25817561385077,90000.0150812943,1.92916580420094,3,2
"52",2458.86246453967,1.25833093416894,119999.960964965,1.92916580420094,4,3
"53",2972.42599541243,1.25849521882958,77499.9677154947,1.92916580420094,3,2
"54",1550.73039769632,1.25838101799709,12500.0019270404,1.92916580420094,5,3
"55",1058.72322296459,1.25814533574672,119999.960964965,1.92916580420094,5,2
"56",2680.08247705793,1.25840974537541,119999.960964965,1.92916580420094,5,2
"57",2415.22661244222,1.25846170759306,67499.980206137,1.92916580420094,4,2
"58",854.719165034569,1.25848353573981,67499.980206137,1.92916580420094,4,2
"59",1670.11475923529,1.25837516759311,67499.980206137,1.92916580420094,3,2
"60",3087.05299299204,1.25848567356835,67499.980206137,1.92916580420094,3,2
"61",1755.73868568071,1.25823414733506,67499.980206137,1.92916580420094,5,3
"62",2312.18626618017,1.25843571683996,47500.0037644782,1.92916580420094,5,2
"63",1374.19399663381,1.25818050716075,47500.0037644782,1.92916580420094,3,2
"64",1449.76766598925,1.25843571683996,119999.960964965,1.92916580420094,4,2
"65",1457.77215911658,1.25827586488504,119999.960964965,1.92916580420094,5,2
"66",1153.34447292852,1.25801337671698,47500.0037644782,1.92916580420094,3,2
"67",174.168332332821,1.25756477455906,37499.9886435073,1.92916580420094,5,2
"68",665.652780947688,1.25835227252366,67499.980206137,1.92916580420094,4,3
"69",679.751684720389,1.25805092523514,90000.0150812943,1.92916580420094,4,4
"70",7770.48546752279,1.25850928368826,119999.960964965,1.92916580420094,2,2
"71",3261.23395366791,1.25837850532026,72499.9680495266,1.92916580420094,4,2
"72",574.588370920834,1.25770067840216,7499.99750317067,1.92916580420094,5,2
